"numéro de dossier","nom dossier","chambre","état de l'instruction","requérant(s)","mandataire(s) requérant(s)","défendeur(s)","mandataire(s) défendeur(s)","date évènement","mesure évènement","acteur évènement","qualité évènement","délais évènement"
"1808813","ASSOCIATION REGARDS CITOYENS / Madame AMELINE Nicole","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame AMELINE Nicole","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808813","ASSOCIATION REGARDS CITOYENS / Madame AMELINE Nicole","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame AMELINE Nicole","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808816","ASSOCIATION REGARDS CITOYENS / Monsieur AMIRSHAHI Pouria","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur AMIRSHAHI Pouria","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808816","ASSOCIATION REGARDS CITOYENS / Monsieur AMIRSHAHI Pouria","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur AMIRSHAHI Pouria","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808817","ASSOCIATION REGARDS CITOYENS / Monsieur ANDRE François","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ANDRE François","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808817","ASSOCIATION REGARDS CITOYENS / Monsieur ANDRE François","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ANDRE François","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808818","ASSOCIATION REGARDS CITOYENS / Madame ANDRIEUX Sylvie","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ANDRIEUX Sylvie","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808818","ASSOCIATION REGARDS CITOYENS / Madame ANDRIEUX Sylvie","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ANDRIEUX Sylvie","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808823","ASSOCIATION REGARDS CITOYENS / Monsieur ABOUBACAR Ibrahim","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ABOUBACAR Ibrahim","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808823","ASSOCIATION REGARDS CITOYENS / Monsieur ABOUBACAR Ibrahim","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ABOUBACAR Ibrahim","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808824","ASSOCIATION REGARDS CITOYENS / Monsieur APPARU Benoist","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur APPARU Benoist","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808824","ASSOCIATION REGARDS CITOYENS / Monsieur APPARU Benoist","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur APPARU Benoist","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808826","ASSOCIATION REGARDS CITOYENS / Madame APPERE Nathalie","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame APPERE Nathalie","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808826","ASSOCIATION REGARDS CITOYENS / Madame APPERE Nathalie","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame APPERE Nathalie","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808830","ASSOCIATION REGARDS CITOYENS / Monsieur ARIF Kader","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ARIF Kader","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808830","ASSOCIATION REGARDS CITOYENS / Monsieur ARIF Kader","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ARIF Kader","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808832","ASSOCIATION REGARDS CITOYENS / Madame ARRIBAGE Laurence","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ARRIBAGE Laurence","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808832","ASSOCIATION REGARDS CITOYENS / Madame ARRIBAGE Laurence","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ARRIBAGE Laurence","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808834","ASSOCIATION REGARDS CITOYENS / Monsieur ANSENSI François","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ANSENSI François","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808834","ASSOCIATION REGARDS CITOYENS / Monsieur ANSENSI François","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ANSENSI François","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808836","ASSOCIATION REGARDS CITOYENS / Monsieur ASSAF Christian","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ASSAF Christian","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808836","ASSOCIATION REGARDS CITOYENS / Monsieur ASSAF Christian","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ASSAF Christian","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808838","ASSOCIATION REGARDS CITOYENS / Monsieur AUBERT Julien","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur AUBERT Julien","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808838","ASSOCIATION REGARDS CITOYENS / Monsieur AUBERT Julien","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur AUBERT Julien","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808840","ASSOCIATION REGARDS CITOYENS / Monsieur AUDIBERT TROIN Olivier","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur AUDIBERT TROIN Olivier","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808840","ASSOCIATION REGARDS CITOYENS / Monsieur AUDIBERT TROIN Olivier","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur AUDIBERT TROIN Olivier","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808841","ASSOCIATION REGARDS CITOYENS / Madame AUROI Danielle","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame AUROI Danielle","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808841","ASSOCIATION REGARDS CITOYENS / Madame AUROI Danielle","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame AUROI Danielle","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808842","ASSOCIATION REGARDS CITOYENS / Monsieur AYLAGAS Pierre","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur AYLAGAS Pierre","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808842","ASSOCIATION REGARDS CITOYENS / Monsieur AYLAGAS Pierre","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur AYLAGAS Pierre","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808843","ASSOCIATION REGARDS CITOYENS / Monsieur NESTOR AZEROT Bruno","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur NESTOR AZEROT Bruno","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808843","ASSOCIATION REGARDS CITOYENS / Monsieur NESTOR AZEROT Bruno","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur NESTOR AZEROT Bruno","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808845","ASSOCIATION REGARDS CITOYENS / Monsieur BACHELAY Alexis","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BACHELAY Alexis","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808845","ASSOCIATION REGARDS CITOYENS / Monsieur BACHELAY Alexis","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BACHELAY Alexis","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808848","ASSOCIATION REGARDS CITOYENS / Monsieur BACHELAY Guillaume","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BACHELAY Guillaume","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808848","ASSOCIATION REGARDS CITOYENS / Monsieur BACHELAY Guillaume","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BACHELAY Guillaume","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808849","ASSOCIATION REGARDS CITOYENS / Monsieur BACQUET Jean-Paul","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BACQUET Jean-Paul","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808849","ASSOCIATION REGARDS CITOYENS / Monsieur BACQUET Jean-Paul","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BACQUET Jean-Paul","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808851","ASSOCIATION REGARDS CITOYENS / Monsieur BAERT Dominique","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BAERT Dominique","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808851","ASSOCIATION REGARDS CITOYENS / Monsieur BAERT Dominique","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BAERT Dominique","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808852","ASSOCIATION REGARDS CITOYENS / Monsieur BAILLIART Guy","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BAILLIART Guy","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808852","ASSOCIATION REGARDS CITOYENS / Monsieur BAILLIART Guy","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BAILLIART Guy","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808856","ASSOCIATION REGARDS CITOYENS / Monsieur BALKANY Patrick","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BALKANY Patrick","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808856","ASSOCIATION REGARDS CITOYENS / Monsieur BALKANY Patrick","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BALKANY Patrick","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808857","ASSOCIATION REGARDS CITOYENS / Monsieur BALLAY Alain","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BALLAY Alain","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808857","ASSOCIATION REGARDS CITOYENS / Monsieur BALLAY Alain","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BALLAY Alain","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808859","ASSOCIATION REGARDS CITOYENS / Monsieur BAPT Gérard","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BAPT Gérard","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808859","ASSOCIATION REGARDS CITOYENS / Monsieur BAPT Gérard","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BAPT Gérard","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808860","ASSOCIATION REGARDS CITOYENS / Monsieur BARBIER Frédéric","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BARBIER Frédéric","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808860","ASSOCIATION REGARDS CITOYENS / Monsieur BARBIER Frédéric","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BARBIER Frédéric","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808862","ASSOCIATION REGARDS CITOYENS / Monsieur BARBIER Jean-Pierre","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BARBIER Jean-Pierre","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808862","ASSOCIATION REGARDS CITOYENS / Monsieur BARBIER Jean-Pierre","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BARBIER Jean-Pierre","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808863","ASSOCIATION REGARDS CITOYENS / Monsieur BARDY Serge","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BARDY Serge","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808863","ASSOCIATION REGARDS CITOYENS / Monsieur BARDY Serge","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BARDY Serge","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808866","ASSOCIATION REGARDS CITOYENS / Monsieur BARTOLONE Claude","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BARTOLONE Claude","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808866","ASSOCIATION REGARDS CITOYENS / Monsieur BARTOLONE Claude","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BARTOLONE Claude","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808867","ASSOCIATION REGARDS CITOYENS / Monsieur BATAILLE Christian","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur BATAILLE Christian","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
